ダウンロードした時刻：2023/07/20 12:12:46

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1932/8/25,26.7,8,1,30.6,8,1,23.4,8,1
1932/8/26,23.8,8,1,26.1,8,1,19.8,8,1
1932/8/27,21.9,8,1,24.2,8,1,19.2,8,1
1932/8/28,22.4,8,1,24.3,8,1,20.7,8,1
1932/8/29,24.8,8,1,28.6,8,1,20.8,8,1
1932/8/30,27.1,8,1,31.9,8,1,22.2,8,1
1932/8/31,26.8,8,1,30.6,8,1,24.0,8,1
1932/9/1,28.0,8,1,32.9,8,1,24.8,8,1
1932/9/2,27.6,8,1,32.3,8,1,23.8,8,1
1932/9/3,26.3,8,1,30.4,8,1,22.2,8,1
1932/9/4,26.1,8,1,30.0,8,1,23.8,8,1
1932/9/5,25.6,8,1,29.2,8,1,21.8,8,1
1932/9/6,24.5,8,1,26.6,8,1,23.0,8,1
1932/9/7,23.5,8,1,25.4,8,1,22.4,8,1
1932/9/8,24.2,8,1,28.1,8,1,21.5,8,1
1932/9/9,24.7,8,1,28.4,8,1,22.5,8,1
1932/9/10,26.0,8,1,29.6,8,1,23.2,8,1
1932/9/11,22.8,8,1,24.2,8,1,20.6,8,1
1932/9/12,21.1,8,1,22.7,8,1,19.6,8,1
1932/9/13,24.6,8,1,28.3,8,1,21.0,8,1
1932/9/14,24.8,8,1,28.3,8,1,21.5,8,1
1932/9/15,23.7,8,1,26.6,8,1,22.0,8,1
1932/9/16,20.3,8,1,22.8,8,1,18.2,8,1
1932/9/17,18.2,8,1,21.4,8,1,16.8,8,1
1932/9/18,17.3,8,1,21.4,8,1,15.2,8,1
1932/9/19,17.8,8,1,22.4,8,1,13.1,8,1
1932/9/20,19.3,8,1,25.0,8,1,12.5,8,1
1932/9/21,19.5,8,1,24.6,8,1,14.5,8,1
1932/9/22,16.8,8,1,17.4,8,1,15.8,8,1
1932/9/23,17.4,8,1,20.9,8,1,15.0,8,1
1932/9/24,18.7,8,1,23.1,8,1,15.6,8,1
1932/9/25,19.0,8,1,22.3,8,1,15.3,8,1
1932/9/26,20.2,8,1,25.0,8,1,14.8,8,1
1932/9/27,20.2,8,1,23.8,8,1,17.4,8,1
1932/9/28,18.2,8,1,19.1,8,1,16.9,8,1
1932/9/29,19.6,8,1,24.9,8,1,17.4,8,1
1932/9/30,19.3,8,1,20.4,8,1,18.3,8,1
1933/6/1,19.5,8,1,24.5,8,1,13.1,8,1
1933/6/2,19.7,8,1,22.1,8,1,17.2,8,1
1933/6/3,21.6,8,1,27.8,8,1,16.1,8,1
1933/6/4,21.0,8,1,25.8,8,1,15.7,8,1
1933/6/5,21.5,8,1,26.7,8,1,16.2,8,1
1933/6/6,21.5,8,1,26.3,8,1,14.6,8,1
1933/6/7,20.8,8,1,22.4,8,1,19.0,8,1
1933/6/8,20.9,8,1,24.4,8,1,18.8,8,1
1933/6/9,21.1,8,1,26.1,8,1,16.2,8,1
1933/6/10,21.4,8,1,27.9,8,1,14.5,8,1
1933/6/11,20.8,8,1,26.0,8,1,14.8,8,1
1933/6/12,21.5,8,1,25.9,8,1,14.3,8,1
1933/6/13,21.3,8,1,25.6,8,1,17.6,8,1
1933/6/14,21.2,8,1,25.7,8,1,17.0,8,1
1933/6/15,20.0,8,1,24.0,8,1,17.0,8,1
1933/6/16,18.0,8,1,21.8,8,1,15.4,8,1
1933/6/17,21.9,8,1,26.5,8,1,18.0,8,1
1933/6/18,21.3,8,1,25.5,8,1,18.2,8,1
1933/6/19,22.7,8,1,27.0,8,1,19.3,8,1
1933/6/20,23.6,8,1,28.1,8,1,20.4,8,1
1933/6/21,19.4,8,1,21.5,8,1,18.0,8,1
1933/6/22,21.3,8,1,25.2,8,1,18.2,8,1
1933/6/23,21.2,8,1,23.9,8,1,19.7,8,1
1933/6/24,23.7,8,1,27.8,8,1,20.5,8,1
1933/6/25,24.4,8,1,28.1,8,1,21.3,8,1
1933/6/26,25.5,8,1,28.9,8,1,22.1,8,1
1933/6/27,27.4,8,1,33.6,8,1,24.2,8,1
1933/6/28,23.1,8,1,26.4,8,1,20.5,8,1
1933/6/29,22.9,8,1,25.9,8,1,20.3,8,1
1933/6/30,25.5,8,1,28.8,8,1,22.8,8,1
1933/7/1,26.8,8,1,30.7,8,1,23.5,8,1
1933/7/2,26.9,8,1,30.7,8,1,23.4,8,1
1933/7/3,24.6,8,1,27.7,8,1,20.4,8,1
1933/7/4,22.2,8,1,26.0,8,1,18.9,8,1
1933/7/5,25.3,8,1,29.9,8,1,21.5,8,1
1933/7/6,26.4,8,1,30.1,8,1,23.1,8,1
1933/7/7,24.4,8,1,29.3,8,1,22.0,8,1
1933/7/8,25.1,8,1,31.4,8,1,20.5,8,1
1933/7/9,24.1,8,1,28.6,8,1,21.9,8,1
1933/7/10,24.9,8,1,29.9,8,1,20.9,8,1
1933/7/11,26.0,8,1,30.4,8,1,22.7,8,1
1933/7/12,26.5,8,1,30.6,8,1,22.2,8,1
1933/7/13,26.4,8,1,29.5,8,1,22.6,8,1
1933/7/14,26.2,8,1,29.4,8,1,22.4,8,1
1933/7/15,26.3,8,1,29.4,8,1,24.0,8,1
1933/7/16,25.8,8,1,27.2,8,1,24.4,8,1
1933/7/17,26.7,8,1,30.9,8,1,23.5,8,1
1933/7/18,27.3,8,1,31.3,8,1,24.4,8,1
1933/7/19,27.2,8,1,31.2,8,1,23.1,8,1
1933/7/20,28.4,8,1,31.8,8,1,24.6,8,1
1933/7/21,29.4,8,1,33.4,8,1,25.1,8,1
1933/7/22,27.7,8,1,33.6,8,1,25.1,8,1
1933/7/23,29.2,8,1,34.9,8,1,24.1,8,1
1933/7/24,30.0,8,1,35.4,8,1,25.9,8,1
1933/7/25,30.0,8,1,34.0,8,1,27.1,8,1
1933/7/26,28.3,8,1,31.6,8,1,26.1,8,1
1933/7/27,25.1,8,1,27.2,8,1,22.8,8,1
